x,y(x),y'(x)
1.4300000000e-01,2.6375060802e-01,1.8474246353e+00
1.4400000000e-01,2.6559803266e-01,1.8474984612e+00
1.4500000000e-01,2.6744553112e-01,1.8475730605e+00
1.4600000000e-01,2.6929310418e-01,1.8476484359e+00
1.4700000000e-01,2.7114075261e-01,1.8477245903e+00
1.4800000000e-01,2.7298847720e-01,1.8478015261e+00
1.4900000000e-01,2.7483627873e-01,1.8478792461e+00
1.5000000000e-01,2.7668415798e-01,1.8479577530e+00
1.5100000000e-01,2.7853211573e-01,1.8480370493e+00
1.5200000000e-01,2.8038015278e-01,1.8481171378e+00
1.5300000000e-01,2.8222826992e-01,1.8481980210e+00
1.5400000000e-01,2.8407646794e-01,1.8482797017e+00
1.5500000000e-01,2.8592474764e-01,1.8483621823e+00
1.5600000000e-01,2.8777310982e-01,1.8484454655e+00
1.5700000000e-01,2.8962155529e-01,1.8485295540e+00
1.5800000000e-01,2.9147008484e-01,1.8486144502e+00
1.5900000000e-01,2.9331869929e-01,1.8487001568e+00
1.6000000000e-01,2.9516739945e-01,1.8487866764e+00
1.6100000000e-01,2.9701618613e-01,1.8488740115e+00
1.6200000000e-01,2.9886506014e-01,1.8489621646e+00
1.6300000000e-01,3.0071402230e-01,1.8490511384e+00
1.6400000000e-01,3.0256307344e-01,1.8491409354e+00
1.6500000000e-01,3.0441221438e-01,1.8492315581e+00
1.6600000000e-01,3.0626144593e-01,1.8493230090e+00
1.6700000000e-01,3.0811076894e-01,1.8494152907e+00
1.6800000000e-01,3.0996018423e-01,1.8495084056e+00
1.6900000000e-01,3.1180969264e-01,1.8496023564e+00
1.7000000000e-01,3.1365929499e-01,1.8496971454e+00
1.7100000000e-01,3.1550899214e-01,1.8497927752e+00
1.7200000000e-01,3.1735878492e-01,1.8498892483e+00
1.7300000000e-01,3.1920867416e-01,1.8499865671e+00
1.7400000000e-01,3.2105866073e-01,1.8500847341e+00
1.7500000000e-01,3.2290874547e-01,1.8501837518e+00
1.7600000000e-01,3.2475892922e-01,1.8502836226e+00
1.7700000000e-01,3.2660921284e-01,1.8503843491e+00
1.7800000000e-01,3.2845959719e-01,1.8504859335e+00
1.7900000000e-01,3.3031008312e-01,1.8505883784e+00
1.8000000000e-01,3.3216067150e-01,1.8506916863e+00
1.8100000000e-01,3.3401136319e-01,1.8507958594e+00
1.8200000000e-01,3.3586215905e-01,1.8509009003e+00
1.8300000000e-01,3.3771305995e-01,1.8510068114e+00
1.8400000000e-01,3.3956406676e-01,1.8511135950e+00
1.8500000000e-01,3.4141518035e-01,1.8512212536e+00
1.8600000000e-01,3.4326640161e-01,1.8513297896e+00
1.8700000000e-01,3.4511773140e-01,1.8514392053e+00
1.8800000000e-01,3.4696917060e-01,1.8515495031e+00
1.8900000000e-01,3.4882072010e-01,1.8516606855e+00
1.9000000000e-01,3.5067238079e-01,1.8517727547e+00
1.9100000000e-01,3.5252415354e-01,1.8518857131e+00
1.9200000000e-01,3.5437603926e-01,1.8519995632e+00
1.9300000000e-01,3.5622803882e-01,1.8521143071e+00
1.9400000000e-01,3.5808015313e-01,1.8522299474e+00
1.9500000000e-01,3.5993238308e-01,1.8523464863e+00
1.9600000000e-01,3.6178472956e-01,1.8524639262e+00
1.9700000000e-01,3.6363719349e-01,1.8525822694e+00
1.9800000000e-01,3.6548977576e-01,1.8527015182e+00
1.9900000000e-01,3.6734247728e-01,1.8528216750e+00
2.0000000000e-01,3.6919529895e-01,1.8529427420e+00
2.0100000000e-01,3.7104824169e-01,1.8530647215e+00
2.0200000000e-01,3.7290130641e-01,1.8531876159e+00
2.0300000000e-01,3.7475449403e-01,1.8533114275e+00
2.0400000000e-01,3.7660780546e-01,1.8534361585e+00
2.0500000000e-01,3.7846124162e-01,1.8535618112e+00
2.0600000000e-01,3.8031480343e-01,1.8536883880e+00
2.0700000000e-01,3.8216849182e-01,1.8538158910e+00
2.0800000000e-01,3.8402230771e-01,1.8539443226e+00
2.0900000000e-01,3.8587625203e-01,1.8540736851e+00
2.1000000000e-01,3.8773032571e-01,1.8542039806e+00
2.1100000000e-01,3.8958452969e-01,1.8543352114e+00
2.1200000000e-01,3.9143886491e-01,1.8544673798e+00
2.1300000000e-01,3.9329333229e-01,1.8546004881e+00
2.1400000000e-01,3.9514793277e-01,1.8547345384e+00
2.1500000000e-01,3.9700266731e-01,1.8548695330e+00
2.1600000000e-01,3.9885753685e-01,1.8550054742e+00
2.1700000000e-01,4.0071254232e-01,1.8551423641e+00
2.1800000000e-01,4.0256768468e-01,1.8552802050e+00
2.1900000000e-01,4.0442296489e-01,1.8554189991e+00
2.2000000000e-01,4.0627838389e-01,1.8555587486e+00
2.2100000000e-01,4.0813394264e-01,1.8556994557e+00
2.2200000000e-01,4.0998964209e-01,1.8558411226e+00
2.2300000000e-01,4.1184548321e-01,1.8559837515e+00
2.2400000000e-01,4.1370146697e-01,1.8561273447e+00
2.2500000000e-01,4.1555759431e-01,1.8562719042e+00
2.2600000000e-01,4.1741386621e-01,1.8564174323e+00
2.2700000000e-01,4.1927028365e-01,1.8565639312e+00
2.2800000000e-01,4.2112684758e-01,1.8567114030e+00
2.2900000000e-01,4.2298355898e-01,1.8568598498e+00
2.3000000000e-01,4.2484041883e-01,1.8570092740e+00
2.3100000000e-01,4.2669742810e-01,1.8571596776e+00
2.3200000000e-01,4.2855458778e-01,1.8573110627e+00
2.3300000000e-01,4.3041189885e-01,1.8574634316e+00
2.3400000000e-01,4.3226936228e-01,1.8576167864e+00
2.3500000000e-01,4.3412697906e-01,1.8577711292e+00
2.3600000000e-01,4.3598475019e-01,1.8579264622e+00
2.3700000000e-01,4.3784267665e-01,1.8580827875e+00
2.3800000000e-01,4.3970075944e-01,1.8582401072e+00
2.3900000000e-01,4.4155899955e-01,1.8583984235e+00
2.4000000000e-01,4.4341739797e-01,1.8585577385e+00
2.4100000000e-01,4.4527595571e-01,1.8587180543e+00
2.4200000000e-01,4.4713467377e-01,1.8588793730e+00
2.4300000000e-01,4.4899355314e-01,1.8590416967e+00
2.4400000000e-01,4.5085259484e-01,1.8592050276e+00
2.4500000000e-01,4.5271179986e-01,1.8593693677e+00
2.4600000000e-01,4.5457116923e-01,1.8595347192e+00
2.4700000000e-01,4.5643070395e-01,1.8597010842e+00
2.4800000000e-01,4.5829040503e-01,1.8598684646e+00
2.4900000000e-01,4.6015027350e-01,1.8600368627e+00
2.5000000000e-01,4.6201031036e-01,1.8602062805e+00
2.5100000000e-01,4.6387051664e-01,1.8603767201e+00
2.5200000000e-01,4.6573089336e-01,1.8605481836e+00
2.5300000000e-01,4.6759144155e-01,1.8607206730e+00
2.5400000000e-01,4.6945216222e-01,1.8608941904e+00
2.5500000000e-01,4.7131305641e-01,1.8610687379e+00
2.5600000000e-01,4.7317412515e-01,1.8612443175e+00
2.5700000000e-01,4.7503536946e-01,1.8614209314e+00
2.5800000000e-01,4.7689679040e-01,1.8615985815e+00
2.5900000000e-01,4.7875838898e-01,1.8617772699e+00
2.6000000000e-01,4.8062016625e-01,1.8619569986e+00
2.6100000000e-01,4.8248212325e-01,1.8621377698e+00
2.6200000000e-01,4.8434426102e-01,1.8623195854e+00
2.6300000000e-01,4.8620658060e-01,1.8625024475e+00
2.6400000000e-01,4.8806908305e-01,1.8626863581e+00
2.6500000000e-01,4.8993176941e-01,1.8628713192e+00
2.6600000000e-01,4.9179464073e-01,1.8630573329e+00
2.6700000000e-01,4.9365769806e-01,1.8632444012e+00
2.6800000000e-01,4.9552094246e-01,1.8634325261e+00
2.6900000000e-01,4.9738437499e-01,1.8636217097e+00
2.7000000000e-01,4.9924799670e-01,1.8638119539e+00
2.7100000000e-01,5.0111180865e-01,1.8640032608e+00
2.7200000000e-01,5.0297581191e-01,1.8641956323e+00
2.7300000000e-01,5.0484000754e-01,1.8643890706e+00
2.7400000000e-01,5.0670439661e-01,1.8645835774e+00
2.7500000000e-01,5.0856898019e-01,1.8647791550e+00
2.7600000000e-01,5.1043375935e-01,1.8649758052e+00
2.7700000000e-01,5.1229873515e-01,1.8651735301e+00
2.7800000000e-01,5.1416390868e-01,1.8653723317e+00
2.7900000000e-01,5.1602928101e-01,1.8655722118e+00
2.8000000000e-01,5.1789485322e-01,1.8657731726e+00
2.8100000000e-01,5.1976062640e-01,1.8659752160e+00
2.8200000000e-01,5.2162660161e-01,1.8661783440e+00
2.8300000000e-01,5.2349277996e-01,1.8663825585e+00
2.8400000000e-01,5.2535916252e-01,1.8665878615e+00
2.8500000000e-01,5.2722575038e-01,1.8667942550e+00
2.8600000000e-01,5.2909254463e-01,1.8670017409e+00
2.8700000000e-01,5.3095954637e-01,1.8672103213e+00
2.8800000000e-01,5.3282675669e-01,1.8674199980e+00
2.8900000000e-01,5.3469417669e-01,1.8676307730e+00
2.9000000000e-01,5.3656180747e-01,1.8678426484e+00
2.9100000000e-01,5.3842965011e-01,1.8680556259e+00
2.9200000000e-01,5.4029770574e-01,1.8682697076e+00
2.9300000000e-01,5.4216597545e-01,1.8684848954e+00
2.9400000000e-01,5.4403446034e-01,1.8687011913e+00
2.9500000000e-01,5.4590316153e-01,1.8689185972e+00
2.9600000000e-01,5.4777208013e-01,1.8691371150e+00
2.9700000000e-01,5.4964121725e-01,1.8693567467e+00
2.9800000000e-01,5.5151057399e-01,1.8695774941e+00
2.9900000000e-01,5.5338015149e-01,1.8697993593e+00
3.0000000000e-01,5.5524995085e-01,1.8700223441e+00
3.0100000000e-01,5.5711997319e-01,1.8702464505e+00
3.0200000000e-01,5.5899021964e-01,1.8704716804e+00
3.0300000000e-01,5.6086069132e-01,1.8706980357e+00
3.0400000000e-01,5.6273138936e-01,1.8709255183e+00
3.0500000000e-01,5.6460231488e-01,1.8711541301e+00
3.0600000000e-01,5.6647346901e-01,1.8713838731e+00
3.0700000000e-01,5.6834485288e-01,1.8716147491e+00
3.0800000000e-01,5.7021646763e-01,1.8718467600e+00
3.0900000000e-01,5.7208831439e-01,1.8720799078e+00
3.1000000000e-01,5.7396039430e-01,1.8723141944e+00
3.1100000000e-01,5.7583270849e-01,1.8725496216e+00
3.1200000000e-01,5.7770525811e-01,1.8727861913e+00
3.1300000000e-01,5.7957804430e-01,1.8730239054e+00
3.1400000000e-01,5.8145106821e-01,1.8732627658e+00
3.1500000000e-01,5.8332433097e-01,1.8735027745e+00
3.1600000000e-01,5.8519783375e-01,1.8737439332e+00
3.1700000000e-01,5.8707157768e-01,1.8739862439e+00
3.1800000000e-01,5.8894556393e-01,1.8742297084e+00
3.1900000000e-01,5.9081979363e-01,1.8744743287e+00
3.2000000000e-01,5.9269426796e-01,1.8747201065e+00
3.2100000000e-01,5.9456898807e-01,1.8749670438e+00
3.2200000000e-01,5.9644395511e-01,1.8752151424e+00
3.2300000000e-01,5.9831917026e-01,1.8754644042e+00
3.2400000000e-01,6.0019463466e-01,1.8757148311e+00
3.2500000000e-01,6.0207034949e-01,1.8759664249e+00
3.2600000000e-01,6.0394631592e-01,1.8762191875e+00
3.2700000000e-01,6.0582253510e-01,1.8764731207e+00
3.2800000000e-01,6.0769900822e-01,1.8767282264e+00
3.2900000000e-01,6.0957573645e-01,1.8769845065e+00
3.3000000000e-01,6.1145272096e-01,1.8772419627e+00
3.3100000000e-01,6.1332996292e-01,1.8775005970e+00
3.3200000000e-01,6.1520746352e-01,1.8777604112e+00
3.3300000000e-01,6.1708522393e-01,1.8780214071e+00
3.3400000000e-01,6.1896324533e-01,1.8782835866e+00
3.3500000000e-01,6.2084152892e-01,1.8785469515e+00
3.3600000000e-01,6.2272007587e-01,1.8788115037e+00
3.3700000000e-01,6.2459888738e-01,1.8790772449e+00
3.3800000000e-01,6.2647796462e-01,1.8793441771e+00
3.3900000000e-01,6.2835730880e-01,1.8796123020e+00
3.4000000000e-01,6.3023692110e-01,1.8798816214e+00
3.4100000000e-01,6.3211680272e-01,1.8801521373e+00
3.4200000000e-01,6.3399695486e-01,1.8804238514e+00
3.4300000000e-01,6.3587737871e-01,1.8806967656e+00
3.4400000000e-01,6.3775807548e-01,1.8809708816e+00
3.4500000000e-01,6.3963904636e-01,1.8812462013e+00
3.4600000000e-01,6.4152029256e-01,1.8815227266e+00
3.4700000000e-01,6.4340181529e-01,1.8818004591e+00
3.4800000000e-01,6.4528361574e-01,1.8820794008e+00
3.4900000000e-01,6.4716569515e-01,1.8823595534e+00
3.5000000000e-01,6.4904805470e-01,1.8826409187e+00
3.5100000000e-01,6.5093069562e-01,1.8829234986e+00
3.5200000000e-01,6.5281361912e-01,1.8832072948e+00
3.5300000000e-01,6.5469682641e-01,1.8834923093e+00
3.5400000000e-01,6.5658031872e-01,1.8837785436e+00
3.5500000000e-01,6.5846409726e-01,1.8840659997e+00
3.5600000000e-01,6.6034816326e-01,1.8843546794e+00
3.5700000000e-01,6.6223251794e-01,1.8846445844e+00
3.5800000000e-01,6.6411716253e-01,1.8849357166e+00
3.5900000000e-01,6.6600209824e-01,1.8852280777e+00
3.6000000000e-01,6.6788732632e-01,1.8855216695e+00
3.6100000000e-01,6.6977284799e-01,1.8858164938e+00
3.6200000000e-01,6.7165866449e-01,1.8861125524e+00
3.6300000000e-01,6.7354477704e-01,1.8864098470e+00
3.6400000000e-01,6.7543118688e-01,1.8867083795e+00
3.6500000000e-01,6.7731789526e-01,1.8870081517e+00
3.6600000000e-01,6.7920490342e-01,1.8873091652e+00
3.6700000000e-01,6.8109221258e-01,1.8876114219e+00
3.6800000000e-01,6.8297982400e-01,1.8879149236e+00
3.6900000000e-01,6.8486773893e-01,1.8882196720e+00
3.7000000000e-01,6.8675595860e-01,1.8885256689e+00
3.7100000000e-01,6.8864448427e-01,1.8888329161e+00
3.7200000000e-01,6.9053331718e-01,1.8891414153e+00
3.7300000000e-01,6.9242245860e-01,1.8894511683e+00
3.7400000000e-01,6.9431190977e-01,1.8897621769e+00
3.7500000000e-01,6.9620167194e-01,1.8900744427e+00
3.7600000000e-01,6.9809174639e-01,1.8903879677e+00
3.7700000000e-01,6.9998213435e-01,1.8907027535e+00
3.7800000000e-01,7.0187283711e-01,1.8910188019e+00
3.7900000000e-01,7.0376385591e-01,1.8913361147e+00
3.8000000000e-01,7.0565519202e-01,1.8916546935e+00
3.8100000000e-01,7.0754684672e-01,1.8919745402e+00
3.8200000000e-01,7.0943882126e-01,1.8922956565e+00
3.8300000000e-01,7.1133111691e-01,1.8926180442e+00
3.8400000000e-01,7.1322373496e-01,1.8929417050e+00
3.8500000000e-01,7.1511667666e-01,1.8932666406e+00
3.8600000000e-01,7.1700994330e-01,1.8935928528e+00
3.8700000000e-01,7.1890353616e-01,1.8939203433e+00
3.8800000000e-01,7.2079745650e-01,1.8942491139e+00
3.8900000000e-01,7.2269170561e-01,1.8945791662e+00
3.9000000000e-01,7.2458628478e-01,1.8949105022e+00
3.9100000000e-01,7.2648119528e-01,1.8952431234e+00
3.9200000000e-01,7.2837643841e-01,1.8955770316e+00
3.9300000000e-01,7.3027201544e-01,1.8959122286e+00
3.9400000000e-01,7.3216792767e-01,1.8962487160e+00
3.9500000000e-01,7.3406417638e-01,1.8965864956e+00
3.9600000000e-01,7.3596076288e-01,1.8969255692e+00
3.9700000000e-01,7.3785768845e-01,1.8972659384e+00
3.9800000000e-01,7.3975495439e-01,1.8976076050e+00
3.9900000000e-01,7.4165256199e-01,1.8979505707e+00
4.0000000000e-01,7.4355051256e-01,1.8982948372e+00
4.0100000000e-01,7.4544880740e-01,1.8986404063e+00
4.0200000000e-01,7.4734744780e-01,1.8989872796e+00
4.0300000000e-01,7.4924643508e-01,1.8993354589e+00
4.0400000000e-01,7.5114577054e-01,1.8996849459e+00
4.0500000000e-01,7.5304545549e-01,1.9000357423e+00
4.0600000000e-01,7.5494549123e-01,1.9003878499e+00
4.0700000000e-01,7.5684587908e-01,1.9007412702e+00
4.0800000000e-01,7.5874662035e-01,1.9010960051e+00
4.0900000000e-01,7.6064771636e-01,1.9014520563e+00
4.1000000000e-01,7.6254916841e-01,1.9018094254e+00
4.1100000000e-01,7.6445097784e-01,1.9021681142e+00
4.1200000000e-01,7.6635314595e-01,1.9025281243e+00
4.1300000000e-01,7.6825567408e-01,1.9028894575e+00
4.1400000000e-01,7.7015856353e-01,1.9032521155e+00
4.1500000000e-01,7.7206181565e-01,1.9036161000e+00
4.1600000000e-01,7.7396543175e-01,1.9039814126e+00
4.1700000000e-01,7.7586941316e-01,1.9043480551e+00
4.1800000000e-01,7.7777376122e-01,1.9047160291e+00
4.1900000000e-01,7.7967847725e-01,1.9050853364e+00
4.2000000000e-01,7.8158356258e-01,1.9054559787e+00
4.2100000000e-01,7.8348901856e-01,1.9058279576e+00
4.2200000000e-01,7.8539484652e-01,1.9062012749e+00
4.2300000000e-01,7.8730104779e-01,1.9065759322e+00
4.2400000000e-01,7.8920762373e-01,1.9069519311e+00
4.2500000000e-01,7.9111457566e-01,1.9073292735e+00
4.2600000000e-01,7.9302190493e-01,1.9077079610e+00
4.2700000000e-01,7.9492961289e-01,1.9080879952e+00
4.2800000000e-01,7.9683770089e-01,1.9084693779e+00
4.2900000000e-01,7.9874617027e-01,1.9088521108e+00
4.3000000000e-01,8.0065502238e-01,1.9092361954e+00
4.3100000000e-01,8.0256425857e-01,1.9096216336e+00
4.3200000000e-01,8.0447388021e-01,1.9100084269e+00
4.3300000000e-01,8.0638388863e-01,1.9103965771e+00
4.3400000000e-01,8.0829428521e-01,1.9107860858e+00
4.3500000000e-01,8.1020507129e-01,1.9111769547e+00
4.3600000000e-01,8.1211624825e-01,1.9115691855e+00
4.3700000000e-01,8.1402781744e-01,1.9119627798e+00
4.3800000000e-01,8.1593978021e-01,1.9123577393e+00
4.3900000000e-01,8.1785213795e-01,1.9127540658e+00
4.4000000000e-01,8.1976489202e-01,1.9131517608e+00
4.4100000000e-01,8.2167804378e-01,1.9135508260e+00
4.4200000000e-01,8.2359159461e-01,1.9139512631e+00
4.4300000000e-01,8.2550554587e-01,1.9143530738e+00
4.4400000000e-01,8.2741989894e-01,1.9147562597e+00
4.4500000000e-01,8.2933465520e-01,1.9151608225e+00
4.4600000000e-01,8.3124981603e-01,1.9155667638e+00
4.4700000000e-01,8.3316538279e-01,1.9159740853e+00
4.4800000000e-01,8.3508135687e-01,1.9163827887e+00
4.4900000000e-01,8.3699773966e-01,1.9167928756e+00
4.5000000000e-01,8.3891453254e-01,1.9172043478e+00
4.5100000000e-01,8.4083173689e-01,1.9176172067e+00
4.5200000000e-01,8.4274935409e-01,1.9180314542e+00
4.5300000000e-01,8.4466738555e-01,1.9184470918e+00
4.5400000000e-01,8.4658583264e-01,1.9188641212e+00
4.5500000000e-01,8.4850469676e-01,1.9192825440e+00
4.5600000000e-01,8.5042397930e-01,1.9197023620e+00
4.5700000000e-01,8.5234368167e-01,1.9201235767e+00
4.5800000000e-01,8.5426380524e-01,1.9205461899e+00
4.5900000000e-01,8.5618435143e-01,1.9209702031e+00
4.6000000000e-01,8.5810532164e-01,1.9213956179e+00
4.6100000000e-01,8.6002671725e-01,1.9218224362e+00
4.6200000000e-01,8.6194853969e-01,1.9222506594e+00
4.6300000000e-01,8.6387079035e-01,1.9226802893e+00
4.6400000000e-01,8.6579347064e-01,1.9231113274e+00
